id,common_code,product_name,product_type,rakuten_sku,is_active,created_at,updated_at,sequence_number,jan_ean_code,colorme_id,smaregi_id,yahoo_product_id,amazon_asin,mercari_product_id,remarks
222,CM087,犬猫のおやつsizukaオリジナルトートバッグ,単品,1820,True,2025-08-03T07:29:38.667263+00:00,2025-08-12T03:46:23.708798+00:00,87.0,4573265586115,,10117,1820,,,
335,CM088,ちび袋 ころころエゾ鹿ミンチ 10g,単品,,True,2025-08-03T13:02:46.967415+00:00,2025-08-12T03:46:23.816257+00:00,88.0,4573265581691,167439431,10082,,,,
336,CM089,ちび袋 ころころクッキー（8粒）,単品,,True,2025-08-03T13:02:47.090157+00:00,2025-08-12T03:46:24.125675+00:00,89.0,4573265581868,167440131,10099,,,,
337,CM090,ちび袋 たらカットジャーキー 15g,単品,,True,2025-08-03T13:02:47.323087+00:00,2025-08-12T03:46:24.236635+00:00,90.0,4573265581905,167440411,10103,,,,
338,CM091,ちび袋 ひとくちサーモン 10g,単品,,True,2025-08-03T13:02:47.469859+00:00,2025-08-12T03:46:24.36863+00:00,91.0,4573265581745,167439632,10087,,,,
501,PC001,商品_PC001,単品,1851,True,2025-08-05T06:03:33.275565+00:00,2025-08-11T20:07:42.862165+00:00,,,,,,,,
499,PC001,商品_PC001,単品,1852,True,2025-08-05T06:03:32.912471+00:00,2025-08-11T20:07:44.229931+00:00,,,,,,,,
506,PC001,商品_PC001,単品,1853,True,2025-08-05T06:29:12.108007+00:00,2025-08-11T20:07:44.30796+00:00,,,,,,,,
507,PC001,商品_PC001,単品,1854,True,2025-08-05T06:29:12.260826+00:00,2025-08-11T20:07:44.388432+00:00,,,,,,,,
508,PC001,商品_PC001,単品,1855,True,2025-08-05T06:29:12.395594+00:00,2025-08-11T20:07:44.469062+00:00,,,,,,,,
509,PC001,商品_PC001,単品,1856,True,2025-08-05T06:29:12.540579+00:00,2025-08-11T20:07:44.563405+00:00,,,,,,,,
510,PC001,商品_PC001,単品,1859,True,2025-08-05T06:29:12.937936+00:00,2025-08-11T20:07:44.845211+00:00,,,,,,,,
511,PC001,商品_PC001,単品,1860,True,2025-08-05T06:29:13.068893+00:00,2025-08-11T20:07:44.93524+00:00,,,,,,,,
500,PC001,商品_PC001,単品,1825,True,2025-08-05T06:03:33.101792+00:00,2025-08-11T20:07:45.118578+00:00,,,,,,,,
498,PC001,商品_PC001,単品,1837,True,2025-08-05T06:03:32.742444+00:00,2025-08-11T20:07:45.210708+00:00,,,,,,,,
512,PC001,商品_PC001,単品,1875,True,2025-08-05T06:29:13.569977+00:00,2025-08-11T20:07:45.299872+00:00,,,,,,,,
513,PC001,商品_PC001,単品,1876,True,2025-08-05T06:29:13.703761+00:00,2025-08-11T20:07:45.395718+00:00,,,,,,,,
339,CM092,ちび袋 ふわふわスモークサーモン 5g,単品,,True,2025-08-03T13:02:47.603071+00:00,2025-08-12T03:46:24.476123+00:00,92.0,4573265581844,167439932,10097,,,,
340,CM093,ちび袋 ほっけカットジャーキー 15g,単品,,True,2025-08-03T13:02:47.71632+00:00,2025-08-12T03:46:24.618398+00:00,93.0,4573265581912,167440916,10104,,,,
341,CM094,ちび袋 エゾ鹿ふりかけ 10g,単品,,True,2025-08-03T13:02:47.931736+00:00,2025-08-12T03:46:24.751876+00:00,94.0,4573265581707,167439456,10083,,,,
342,CM095,ちび袋 エゾ鹿カットジャーキー 15g,単品,,True,2025-08-03T13:02:48.041831+00:00,2025-08-12T03:46:24.884878+00:00,95.0,4573265581875,167440156,10100,,,,
343,CM096,ちび袋 エゾ鹿スライスジャーキー 10g,単品,,True,2025-08-03T13:02:48.133255+00:00,2025-08-12T03:46:25.001892+00:00,96.0,4573265581684,167439411,10081,,,,
344,CM097,ちび袋 エゾ鹿レバースライスジャーキー 10g,単品,,True,2025-08-03T13:02:48.270853+00:00,2025-08-12T03:46:25.135331+00:00,97.0,4573265581714,167439467,10084,,,,
345,CM098,ちび袋 スティックサーモン 10g,単品,,True,2025-08-03T13:02:48.371187+00:00,2025-08-12T03:46:25.351941+00:00,98.0,4573265581738,167439544,10086,,,,
346,CM099,ちび袋 スモークサーモンチップ 10g,単品,,True,2025-08-03T13:02:48.484651+00:00,2025-08-12T03:46:25.485049+00:00,99.0,4573265581851,167440029,10098,,,,
347,CM100,ちび袋 スライスサーモン 10g,単品,,True,2025-08-03T13:02:48.602362+00:00,2025-08-12T03:46:25.585179+00:00,100.0,4573265581721,167439492,10085,,,,
29,CM103,ちび袋 豚ハツスライスジャーキー 10g,単品,,True,2025-08-03T06:29:24.881435+00:00,2025-08-12T03:46:25.952112+00:00,103.0,4573265581806,167439773,10093,,,,
358,CM111,ちび袋 カンガルースライスジャーキー 10g,単品,,True,2025-08-03T13:02:49.842949+00:00,2025-08-12T03:46:27.135308+00:00,111.0,4573265581837,,10096,,,,
365,CM118,ミニチュア木箱（サーモン）,単品,,True,2025-08-03T13:02:50.890596+00:00,2025-08-12T03:46:27.984289+00:00,118.0,1000013,,10116,,,,
224,CM124,【激レア！数量限定】仔牛のスペアリブ（小さめ） 30g,単品,1826,True,2025-08-03T07:29:38.880116+00:00,2025-08-12T03:46:28.811061+00:00,124.0,,,,,,,限定
226,CM126,【激レア！数量限定】牛ラング 20g,単品,1828,True,2025-08-03T07:29:39.114349+00:00,2025-08-12T03:46:29.062197+00:00,126.0,,178475580,,,,,限定
228,CM128,【激レア！期間限定】ひとくちサーモン（骨多め）（賞味期限2024/8/20） 30g,単品,1836,True,2025-08-03T07:29:39.358318+00:00,2025-08-12T03:46:29.272096+00:00,128.0,,,,,,,限定
230,CM130,【激レア！数量限定】エゾ鹿スペアリブ （小さめ）30g,単品,1869,True,2025-08-03T07:29:39.591653+00:00,2025-08-12T03:46:29.521669+00:00,130.0,,,,,,,限定
232,CM132,【激レア！数量限定】牛鬼筋（細め） 30g 約7~10本,単品,1873,True,2025-08-03T07:29:39.826456+00:00,2025-08-12T03:46:29.805978+00:00,132.0,,,,,,,限定
233,CM133,【激レア！数量限定】豚耳スライスジャーキー（黒め） 30g,単品,1874,True,2025-08-03T07:29:39.946891+00:00,2025-08-12T03:46:29.928769+00:00,133.0,,,,,,,限定
514,CM135,【激レア！数量限定】今季初モノ！[北海道産] 極上真っ赤なひとくちサーモン 30g,単品,,True,2025-08-11T20:42:58.315498+00:00,2025-08-12T03:46:30.206576+00:00,135.0,,182367437,,,,,限定
515,CM136,【激レア！数量限定】極上フレークサーモン 30g,単品,,True,2025-08-11T20:42:58.413942+00:00,2025-08-12T03:46:30.338072+00:00,136.0,,134653568,,,,,限定
236,CM138,【激レア！数量限定】サーモンハラスロング（細め）30g,単品,1829,True,2025-08-03T07:29:40.315944+00:00,2025-08-12T03:46:30.56781+00:00,138.0,,,,,,,限定
516,CM139,sizuka オリジナルジュートバッグ,単品,,True,2025-08-11T20:42:58.6983+00:00,2025-08-12T03:46:30.687862+00:00,139.0,,137945198,,,,,
517,CM140,sizuka オリジナルポケットボトル,単品,,True,2025-08-11T20:42:58.800825+00:00,2025-08-12T03:46:30.790015+00:00,140.0,,155991596,,,,,
518,CM141,sizukaオリジナル風呂敷 （ふろしき）（エレメント）,単品,,True,2025-08-11T20:42:58.888451+00:00,2025-08-12T03:46:30.920802+00:00,141.0,,165361544,,,,,
138,CM001,エゾ鹿スライスジャーキー 30g,単品,1701,True,2025-08-03T07:29:28.478854+00:00,2025-08-12T03:46:11.184318+00:00,1.0,4573265581011,71898726,10001,1701,B0B2R5V8BG,5LCeqpCPZVPB8jNcfXyRF4,
139,CM002,エゾ鹿カットジャーキー 70g,単品,1702,True,2025-08-03T07:29:28.72498+00:00,2025-08-12T03:46:12.019345+00:00,2.0,4573265584272,71907306,10075,1702,B0B3N9YFV8,o2oMgdV3ieTSAfcLkQpZnN,
