id,common_code,product_name,current_stock,initial_stock,minimum_stock,reorder_point,price,content,jan_code,reference_date,created_at,last_updated
48,C01,コーンフレーク,160,0,6,20,,,,,2025-08-20T10:06:54.534719+00:00,2025-08-20T10:17:02.755724+00:00
47,S02,スモークサーモンチップ,603,0,12,20,,,,,2025-08-20T10:06:54.205396+00:00,2025-08-20T10:17:58.779652+00:00
103,CM054,ほたて,50,0,2,20,,,,,2025-08-20T10:17:46.214304+00:00,2025-08-20T10:18:01.898525+00:00
92,CM049,エゾ鹿バーグ,101,0,2,20,,,,,2025-08-20T10:16:43.249616+00:00,2025-08-20T10:17:37.350457+00:00
53,CK01,ころころクッキー,239,0,3,20,,,,,2025-08-20T10:06:55.564561+00:00,2025-08-20T10:18:11.878423+00:00
102,CM045,カンガルースライスジャーキー,110,0,1,20,,,,,2025-08-20T10:17:08.966784+00:00,2025-08-20T10:17:32.540104+00:00
76,CM068,エゾ鹿チップ,262,0,1,20,,,,,2025-08-20T10:16:24.878722+00:00,2025-08-20T10:18:11.046433+00:00
71,CM052,鮭白子,103,0,2,20,,,,,2025-08-20T10:16:20.786232+00:00,2025-08-20T10:17:46.187421+00:00
86,CM133,豚耳スライスジャーキー,362,0,5,20,,,,,2025-08-20T10:16:31.304691+00:00,2025-08-20T10:18:12.609403+00:00
85,CM005,エゾ鹿ふりかけ,130,0,1,20,,,,,2025-08-20T10:16:30.327254+00:00,2025-08-20T10:18:08.913265+00:00
54,J01,エゾ鹿カットジャーキー,219,0,1,20,,,,,2025-08-20T10:06:55.796442+00:00,2025-08-20T10:18:11.239676+00:00
101,CM069,エゾ鹿フレーク,125,0,1,20,,,,,2025-08-20T10:17:01.019676+00:00,2025-08-20T10:17:44.453223+00:00
97,CM137,白子チップ,170,0,5,20,,,,,2025-08-20T10:16:50.605889+00:00,2025-08-20T10:17:59.520791+00:00
89,CM112,エゾ鹿骨,133,0,2,20,,,,,2025-08-20T10:16:35.158929+00:00,2025-08-20T10:17:44.658068+00:00
74,CM026,豚ハツスライスジャーキー,153,0,1,20,,,,,2025-08-20T10:16:22.771196+00:00,2025-08-20T10:18:12.103109+00:00
99,CM110,馬スライスジャーキー,168,0,3,20,,,,,2025-08-20T10:16:51.525017+00:00,2025-08-20T10:18:08.705773+00:00
91,CM050,エゾ鹿角切りレバー,74,0,2,20,,,,,2025-08-20T10:16:43.038128+00:00,2025-08-20T10:18:02.131931+00:00
79,CM098,スティックサーモン,487,0,3,20,,,,,2025-08-20T10:16:26.077876+00:00,2025-08-20T10:18:03.201305+00:00
